repo	module	file_path	class_name	kind	extends	table_or_path	field_count	fields
aaag-integration	api-dtos	api-dtos/src/main/java/cars/ship/aaagintegration/dtos/out/AaagTransportationUpdateDataDto.java	AaagTransportationUpdateDataDto	dto			0	
aaag-integration	api-dtos	api-dtos/src/main/java/cars/ship/aaagintegration/dtos/out/ChargesEventDto.java	ChargesEventDto	dto			0	
aaag-integration	api-dtos	api-dtos/src/main/java/cars/ship/aaagintegration/dtos/out/AaagChargesDto.java	AaagChargesDto	dto			0	
aaag-integration	api-dtos	api-dtos/src/main/java/cars/ship/aaagintegration/dtos/out/AaagTransportationDoneDataDto.java	AaagTransportationDoneDataDto	dto			0	
aaag-integration	api-dtos	api-dtos/src/main/java/cars/ship/aaagintegration/dtos/in/AaagPullEventDto.java	AaagPullEventDto	dto			0	
aaag-integration	api-dtos	api-dtos/src/main/java/cars/ship/aaagintegration/dtos/in/AaagFileSourceDto.java	AaagFileSourceDto	dto			0	
aaag-integration	api-dtos	api-dtos/src/main/java/cars/ship/aaagintegration/dtos/in/AaagImportFileReceivedDto.java	AaagImportFileReceivedDto	dto			0	
aaag-integration	services	services/src/main/java/cars/ship/aaagintegration/storage/dto/LoadLegProcessingLockStorageEntity.java	LoadLegProcessingLockStorageEntity	dto	StorageEntity		0	
aaag-integration	services	services/src/main/java/cars/ship/aaagintegration/storage/dto/LoadLegInfoDto.java	LoadLegInfoDto	dto			8	location:String;loadLegId:String;shippingItemId:String;vehicleId:String;dealerId:String;stockNumber:String;checkInRecordedAt:Instant;createdAt:Instant
aaag-integration	services	services/src/main/java/cars/ship/aaagintegration/storage/dto/TransportationUpdateStorageEntity.java	TransportationUpdateStorageEntity	other	StorageEntity		0	
aaag-integration	services	services/src/main/java/cars/ship/aaagintegration/storage/dto/TransportationDoneStorageEntity.java	TransportationDoneStorageEntity	other	StorageEntity		0	
aaag-integration	services	services/src/main/java/cars/ship/aaagintegration/storage/dto/CheckInInfoDto.java	CheckInInfoDto	dto			7	dealerId:String;stockNumber:String;recordedAt:Instant;matchedLoadLegId:String;matchedShippingItemId:String;matchedVehicleId:String;createdAt:Instant
aaag-integration	services	services/src/main/java/cars/ship/aaagintegration/storage/dto/LoadLegsStorageEntity.java	LoadLegsStorageEntity	other	StorageEntity		0	
aaag-integration	services	services/src/main/java/cars/ship/aaagintegration/storage/dto/CheckInNotMatchedIndexStorageEntity.java	CheckInNotMatchedIndexStorageEntity	other	StorageEntity		0	
aaag-integration	services	services/src/main/java/cars/ship/aaagintegration/storage/dto/CheckInStorageEntity.java	CheckInStorageEntity	other	StorageEntity		0	
aaag-integration	services	services/src/main/java/cars/ship/aaagintegration/dtos/auctionedge/AuctionEdgeEventDetailDto.java	AuctionEdgeEventDetailDto	dto			0	
aaag-integration	services	services/src/main/java/cars/ship/aaagintegration/dtos/auctionedge/AuctionEdgeCheckInDto.java	AuctionEdgeCheckInDto	dto			0	
aaag-integration	services	services/src/main/java/cars/ship/aaagintegration/dtos/auctionedge/AuctionEdgeEventDto.java	AuctionEdgeEventDto	dto			0	
aaag-integration	services	services/src/main/java/cars/ship/aaagintegration/dtos/auctionedge/AuctionEdgeSellerDto.java	AuctionEdgeSellerDto	dto			0	
aaag-integration	services	services/src/main/java/cars/ship/aaagintegration/dtos/auctionedge/asi/InboundTransportationNoticeResponse.java	InboundTransportationNoticeResponse	dto			0	
aaag-integration	services	services/src/main/java/cars/ship/aaagintegration/dtos/auctionedge/asi/InboundTransportationAddChargeResponse.java	InboundTransportationAddChargeResponse	dto			0	
aaag-integration	services	services/src/main/java/cars/ship/aaagintegration/dtos/auctionedge/asi/InboundTransportationNotice.java	InboundTransportationNotice	dto			0	
aaag-integration	services	services/src/main/java/cars/ship/aaagintegration/dtos/auctionedge/asi/InboundTransportationAddCharge.java	InboundTransportationAddCharge	dto			0	
aaag-integration	services	services/src/main/java/cars/ship/aaagintegration/dtos/auctionedge/asi/InboundTransportationResponse.java	InboundTransportationResponse	dto			0	
aaag-integration	services	services/src/main/java/cars/ship/aaagintegration/dtos/auctionedge/asi/auth/AsiAuthTokenResponseDto.java	AsiAuthTokenResponseDto	dto			0	
aaag-integration	services	services/src/main/java/cars/ship/aaagintegration/dtos/auctionedge/asi/auth/AsiAuthParametersDto.java	AsiAuthParametersDto	dto			0	
aaag-integration	services	services/src/main/java/cars/ship/aaagintegration/dtos/auctionedge/asi/auth/AsiAuthResponseDto.java	AsiAuthResponseDto	dto			0	
aaag-integration	services	services/src/main/java/cars/ship/aaagintegration/dtos/auctionedge/asi/auth/AsiAuthDto.java	AsiAuthDto	dto			0	
aaag-integration	services	services/src/main/java/cars/ship/aaagintegration/listeners/EventMsg.java	EventMsg	dto			0	
aaag-integration	services	services/src/main/java/cars/ship/aaagintegration/services/impl/TransportationUpdateEventProcessServiceImpl.java	TransportationUpdateEventProcessServiceImpl	dto			33	asiChargesService:AsiChargesService;storageClient:StorageClient;storageEntityReader:StorageEntityReader;metadataService:MetadataService;transportationUpdateData:Pair<AaagTransportationUpdateDataDto, String>[];transportationUpdate:ChargesEventDto;res:Pair<AaagTransportationUpdateDataDto, String>[];storageInfoOpt:StorageInfo[];storageInfo:StorageInfo;item:AaagTransportationUpdateDataDto;updateEntity:TransportationUpdateStorageEntity;asiTransportationOrderId:String;updateEntity:TransportationUpdateStorageEntity;updatedData:ArrayList<AaagTransportationUpdateDataDto>;updateStorageEntity:TransportationUpdateStorageEntity;doneEntity:TransportationDoneStorageEntity;key:String;shippingItemId:String;vehicle:VehicleDto;vehicleId:String;updateEntity:TransportationUpdateStorageEntity;doneData:AaagTransportationDoneDataDto;doneEntity:TransportationDoneStorageEntity;sentCharges:AaagChargesDto[];syncOnChangedFields:String[];sentCharges:AaagChargesDto[];vehicle:VehicleDto;aaagTransportationDoneData:AaagTransportationDoneDataDto;dealerIdAndName:DealerIdAndName;currentCharges:AaagChargesDto[];currentChargeIds:String[];updatedCharges:ArrayList<AaagChargesDto>;sentCharge:AaagChargesDto
aaag-integration	services	services/src/main/java/cars/ship/aaagintegration/services/impl/TransportationProcessingUtils.java	TransportationProcessingUtils	dto			8	contact:ContactDto;dealerName:String;customer:ContactDto;dealerName:String;vin:String;customInfo:String;stopWatch:var;elapsedTimeSeconds:long
aaag-integration	services	services/src/main/java/cars/ship/aaagintegration/services/impl/TransportationDoneEventProcessServiceImpl.java	TransportationDoneEventProcessServiceImpl	dto			80	asiPushService:AsiPushService;objectSerializer:ObjectSerializer;storageClient:StorageClient;storageEntityReader:StorageEntityReader;inventoryService:InventoryService;metadataService:MetadataService;asiChargesService:AsiChargesService;postingService:PostingService;storageCleanupService:StorageCleanupServiceImpl;transportationDoneData:AaagTransportationDoneDataDto[];loadLegsStorageEntity:LoadLegsStorageEntity;transportationDoneData:AaagTransportationDoneDataDto[];chargesEvent:ChargesEventDto;transportationDoneToSend:AtomicReference<ChargesEventDto>;asiTransportationOrderId:AtomicReference<String>;cleanupChargesRef:AtomicReference<CleanupCharges>;doneEntity:TransportationDoneStorageEntity;auctionId:String;delayedEventProcessResult:AtomicReference<DelayedEventProcessResult>;doneEntity:TransportationDoneStorageEntity;storageKeyId:String;companyId:String;storageKeyId:String;shouldCreateTransportationDoneEvent:ShouldCreateTransportationDone;checkInRecordedAt:Instant;isDoneEventAlreadySent:boolean;dataBuilder:AaagTransportationDoneDataDtoBuilder;loadLegsStorageEntity:LoadLegsStorageEntity;shippingItemId:String;shippingItem:ShippingItemWithDriverDto;resolvedStatus:ShippingItemStatusEnum;doneEntityOldKey:String;clonedEntity:TransportationDoneStorageEntity;asiChargeToRemove:AaagChargesDto[];updateKey:String;updateEntity:TransportationUpdateStorageEntity;updateEntityOldVinKey:String;clonedEntity:TransportationUpdateStorageEntity;vin:String;companyId:String;checkInStorageEntityKey:String;checkInInfo:CheckInStorageEntity;loadLegStorageKey:String;loadLegStorageKeyLeadingZeros:String;matchedInfo:Pair<LoadLegInfoDto, CheckInInfoDto>;loadLegInfo:LoadLegInfoDto;transportationDoneStorageKey:String;existingEntity:TransportationDoneStorageEntity;asiTransportationOrderIdRef:AtomicReference<String>;loadLegsStorageEntity:LoadLegsStorageEntity;checkInStorageEntityKey:String;checkInStorageEntity:CheckInStorageEntity;doneEntity:TransportationDoneStorageEntity;matchedInfo:Pair<LoadLegInfoDto, CheckInInfoDto>;doneEntity:TransportationDoneStorageEntity;transportationData:AaagTransportationDoneDataDto;auctionId:String;orderId:String;matchedLoadLegInfo:LoadLegInfoDto;matchedCheckInInfo:CheckInInfoDto;matchedLoadLegId:String;matchedShippingItemId:String;companyId:String;checkInRecordedAt:Instant;loadLegStorageKey:String;loadLegInfo:LoadLegInfoDto;existingLoadLegInfo:LoadLegInfoDto;checkInSortedFirstNewer:CheckInInfoDto[];loadLegDealerId:String;loadLegStockNumber:String;foundCheckIn:CheckInInfoDto;foundCheckIn:CheckInInfoDto;foundCheckIn:CheckInInfoDto;res:AaagTransportationDoneDataDto[];shippingItemId:String;shippingItem:ShippingItemWithDriverDto;addShippingItem:boolean;aaagTransportationDoneData:AaagTransportationDoneDataDto;vehicle:VehicleDto;resolvedShippingItemStatus:ShippingItemStatusEnum
