canonical	occurrence	repo_count	sample_aliases	sample_repos
CompanyConfig	10	5	CompanyConfig,CompanyConfigDbEntity,CompanyConfigDto,CompanyConfigEntity,PublicCompanyConfigDto	autoims-backend,bi-databricks-backend,integrations-backend,payment-backend,uship-quotes
Contact	9	7	Contact,ContactDto,ContactEntity,ContactReadDto,PublicTrackingContactDto	command-executor,invoices,loadbuilder-backend,models-lib,posting-backend
DateRange	8	5	DateRange,DateRangeDto,DateRangeReadDto	inventory-backend,loadboard-backend,models-lib,posting-backend,trip-planner
ActivityLog	7	4	ActivityLog,ActivityLogDto,ActivityLogReadDto,V3ActivityLogDto	cube,models-lib,posting-backend,pusher
State	7	4	StateDto,StateEntity	ai-dashboard-backend,contract-pricing-backend,quarkus-imperative-boilerplate,quarkus-k8s-boilerplate
City	6	3	CityDto,CityEntity	ai-dashboard-backend,quarkus-imperative-boilerplate,quarkus-k8s-boilerplate
DateDetail	6	3	DateDetail,DateDetailDto,DateDetailReadDto,PublicTrackingDateDetailDto,V1DateDetailDto	models-lib,posting-backend,public-tracking-backend
LoadLocationSharingState	6	2	LoadLocationSharingState,LoadLocationSharingStateDto,LoadLocationSharingStateEntity,LoadLocationSharingStateReadDto	location-history-backend,models-lib
FileContent	5	5	FileContent,FileContentDto	driveaway-backend,loadbuilder-backend,posting-backend,spring-commons,user-backend
Filter	5	5	AutoImsFilterDto,Filter,InventoryFilterDto	autoims-backend,chat-backend,inventory-backend,quote-manager-backend,saved-search-handler
ManagedServiceProvider	5	2	ManagedServiceProvider,ManagedServiceProviderDto,ManagedServiceProviderPubSubDto	loadbuilder-backend,quote-manager-backend
PaymentDetails	5	3	PaymentDetailsDto,PaymentDetailsEntity,PaymentDetailsPubSubDto,PaymentDetailsReadDto	commons,loadboard-backend,posting-backend
ShippingItem	5	2	PublicTrackingShippingItemDto,ShippingItem,V1ShippingItemDto,V1ShippingItemPubSubDto,V3ShippingItemDto	posting-backend,public-tracking-backend
TransportUpdate	5	1	AutoImsTransportUpdateDto,AutoImsTransportUpdateRequestDto,AutoImsTransportUpdateResponseDto,TransportUpdateDto,TransportUpdateResponseDto	autoims-backend
AccountingLineItem	4	2	AccountingLineItemDto,AccountingLineItemEntity,AccountingLineItemReadDto,V1AccountingLineItemPubSubDto	models-lib,posting-backend
Driveaway	4	2	Driveaway,DriveawayDto,DriveawayReadDto,V1DriveawayPubSubDto	models-lib,posting-backend
Image	4	3	Image,ImageDto,ImageReadDto	cube,integration-executor,models-lib
LineItem	4	3	LineItemDto,LineItemEmbedded	contract-pricing-backend,inventory-backend,posting-backend
LinkInfo	4	2	PublicLinkInfo,PublicLinkInfoDto,PublicLinkInfoReadDto,V1PublicLinkInfoPubSubDto	models-lib,posting-backend
LoadLocation	4	1	LoadLocation,LoadLocationDto,LoadLocationEventDto	public-tracking-backend
LocationDetails	4	1	LocationDetails,LocationDetailsDto,LocationDetailsPubSubDto,LocationDetailsReadDto	loadboard-backend
M22Damage	4	2	M22DamageDto,M22DamageEmbedded,M22DamagePubSubDto	cube,posting-backend
Metadata	4	3	MetadataDto,MetadataEmbedded,MetadataEntity,MetadataEntityReadDto	driveaway-backend,metadata,syncer
OfferDetails	4	3	OfferDetailsDto,OfferDetailsPubSubDto,OfferDetailsReadDto	loadboard-backend,models-lib,posting-backend
Paged	4	4	PagedResponseDto,V1PagedResponseDto	dataone,posting-backend,quote-manager-backend,user-backend
PubSubMessage	4	4	PubSubMessageDto	loadboard-backend,metadata,pubsub-exception-handler,pusher
Rate	4	3	Rate,RateDto	loadbuilder-backend,models-lib,posting-backend
UnitUpdate	4	2	AutoImsUnitUpdate,AutoImsUnitUpdateDto,InventoryUnitUpdate,InventoryUnitUpdateDto	autoims-backend,inventory-backend
VehicleInfo	4	3	VehicleInfo,VehicleInfoDto	integration-executor,inventory-backend,loadboard-backend
AcceptNegotiation	3	2	AcceptNegotiation,AcceptNegotiationDto	loadboard-backend,negotiations-router
ActivityLogPaged	3	1	ActivityLogPagedDto,V2ActivityLogPagedDto,V3ActivityLogPagedDto	posting-backend
AddressInfoDb	3	3	AddressInfoDbEmbedded	autoims-backend,inventory-backend,loadbuilder-backend
AppConfigImpl	3	3	AppConfigImpl	chat-backend,notification-backend,quote-manager-backend
AttachmentMetadata	3	2	AttachmentMetadata,AttachmentMetadataDto	loadboard-backend,posting-backend
ByIdsFilter	3	1	ByIdsFilter,ByIdsFilterDto	cube
CarrierDirectDispatch	3	1	CarrierDirectDispatchDto,V2CarrierDirectDispatchDto,V3CarrierDirectDispatchDto	posting-backend
CityFilter	3	2	CityFilter,CityFilterDto	cube,saved-search-handler
CityRangeFilter	3	3	CityRangeFilter,CityRangeFilterDto	cube,saved-search-handler,trip-planner
CityRev	3	3	CityRevDto	ai-dashboard-backend,quarkus-imperative-boilerplate,quarkus-k8s-boilerplate
Command	3	3	CommandPubSubDto	ai-dashboard-backend,quarkus-imperative-boilerplate,quarkus-k8s-boilerplate
CompanyEvent	3	3	CompanyEventPubSubDto	chat-backend,contract-pricing-backend,posting-backend
CompanyInfo	3	2	CompanyInfoDto,CompanyInfoReadDto	cube,models-lib
CompanyVo	3	3	CompanyVo	pusher,quote-manager-backend,trip-planner
Config	3	3	AutoImsConfig,DriveawayConfig,InventoryConfig	autoims-backend,driveaway-backend,inventory-backend
ContactSearchFilter	3	1	ContactSearchFilter,ContactSearchFilterDto,V3ContactSearchFilterDto	posting-backend
Context	3	3	ContextDto	commons,integrations-backend,models-lib
CrmAccount	3	1	CrmAccount,CrmAccountDto,CrmAccountResponseDto	crm-workflows
CtmsGeoPoint	3	3	CtmsGeoPointDto,CtmsGeoPointEntityReadDto	load-recommender,syncer,trip-planner
CtmsOfferActivityLog	3	3	CtmsOfferActivityLogEntityReadDto,CtmsOfferActivityLogReadDto	cube,models-lib,syncer
DamageEntry	3	2	DamageEntryDto,DamageEntryReadDto	cube,models-lib
Distance	3	3	DistanceDto	contract-pricing-backend,quote-manager-backend,uship-quotes
DriveawayDirectDispatch	3	1	DriveawayDirectDispatchDto,V2DriveawayDirectDispatchDto,V3DriveawayDirectDispatchDto	posting-backend
DriverLocationSharingState	3	2	DriverLocationSharingStateDto,DriverLocationSharingStateEntity	location-history-backend,models-lib
Email	3	1	Email,EmailDto,EmailEntity	notification-orchestrator
EmailMessage	3	3	EmailMessageDto	driveaway-backend,inventory-backend,invoices
ExtraObject	3	2	ExtraObjectDto,ExtraObjectReadDto	cube,models-lib
FullLoadLeg	3	2	FullLoadLegDto,FullLoadLegReadDto,V3FullLoadLegDto	models-lib,posting-backend
InspectionConfiguration	3	2	InspectionConfigurationDto,InspectionConfigurationReadDto	cube,models-lib
Integration	3	1	Integration,IntegrationDto,IntegrationEntity	integrations-backend
KeyCloakUser	3	2	KeyCloakUserDto,KeyCloakUserEntity	fraud-detector,models-lib
LoadLocationLog	3	3	LoadLocationLogEntity,LoadLocationLogReadDto	cube,location-history-backend,models-lib
LoadUpdate	3	3	LoadUpdate,LoadUpdateDto	driveaway-backend,posting-backend,trip-planner
LoadboardVehicle	3	1	LoadboardVehicle,LoadboardVehicleDto,LoadboardVehiclePubSubDto	posting-backend
LocationFilter	3	2	LocationFilter,LocationFilterDto	cube,trip-planner
LocationInfo	3	2	AutoImsLocationInfoDto,LocationInfoDto	autoims-backend,location-provider
LocationVo	3	3	LocationVo	posting-backend,public-tracking-backend,trip-planner
LocationWithCoordinates	3	2	LocationWithCoordinatesDto,LocationWithCoordinatesReadDto,V1LocationWithCoordinatesPubSubDto	models-lib,posting-backend
ManagedOrder	3	2	ManagedOrder,ManagedOrderDto,ManagedOrderReadDto	models-lib,posting-backend
ManagedOrderUpdate	3	1	ManagedOrderUpdate,ManagedOrderUpdateDto,V4ManagedOrderUpdateDto	posting-backend
